store_id,lat,lon,state,geo_tier,N_ZIPCODES,TOTAL_POPULATION,avg_weekly_revenue,total_revenue,revenue_per_capita,population_density,area_sq_mi,quality_not_price_disagree,price_not_brands_disagree,compare_prices_disagree,buy_american_agree,mail_order_1_49,mail_order_50_99,mail_phone_1_49,mail_phone_500_plus,reads_sunday_newspaper,reads_classifieds,commute_1_2_hrs,work_from_home,public_transit
1,40.07021688,-76.44345931,PA,URBAN,16,314004,7588.635943113773,15207626.43,24.16732252810083,1680.4,33.26,2539,2345,4274,16863,936,1775,1186,1705,1480,2008,7224,1938,119
2,39.27074,-76.531715,MD,URBAN,4,138189,6128.2531037924155,12281019.22,44.34689522170662,3754.8,15.84,3266,3121,5073,17356,1211,2310,1146,1683,1578,2239,7719,990,1198
3,40.26722163,-77.11543942,PA,SUBRURAL,25,308179,10510.394066866267,21062829.71,34.10483539393102,1287.6,33.66,1845,1647,3011,12697,688,1219,825,1375,981,1454,5524,1769,92
4,40.31653376,-76.73281759,PA,SUBRURAL,17,273298,11864.590753493014,23776639.87,43.41265122135184,616.9,62.6,1708,1592,2847,12390,686,1159,758,1199,947,1494,5158,1179,105
5,39.88336482,-76.61058912,PA,URBAN,20,202936,6301.871242514971,12628949.97,31.053490965205633,1833.9,20.48,1924,1747,3042,11660,679,1426,847,1153,1015,1432,5167,1364,53
9,40.59222005,-75.62434355,PA,URBAN,20,234554,8120.215154690619,16272911.17,34.619811023008,2063.0,23.53,2400,2116,3698,14590,765,1492,989,1520,1380,1767,6596,2473,189
12,39.56875221,-76.27790689,MD,SUBRURAL,19,260684,7275.10116766467,14579302.74,27.907739514756067,891.7,31.13,1332,1297,2103,7913,509,998,574,823,679,1020,3473,442,221
14,40.28457808,-75.61673631,PA,SUBRURAL,13,182096,5740.58031968032,11492641.8,31.52502152535102,1909.5,25.91,2506,2352,3959,13584,889,1603,869,1513,1140,1598,6458,1884,422
15,40.3196871,-76.0333792,PA,URBAN,10,118589,7036.104530938124,14100353.48,59.33184807139047,2060.0,11.33,1149,1067,2130,7691,511,896,545,667,528,924,3293,1088,104
16,40.7816598,-76.86192933,PA,SUBRURAL,45,149018,6755.263048902196,13537547.15,45.33185956664427,790.9,2.1,125,74,198,536,37,60,53,37,72,94,198,41,0
17,40.59631986,-77.52895964,PA,SUBRURAL,15,59203,5185.370549176236,10386297.21,87.58628024215386,1180.1,1.57,108,88,183,637,56,64,60,43,53,103,260,43,0
19,40.42642004,-75.31865026,PA,SUBRURAL,33,206352,5940.012661008487,11897845.36,28.785825487557606,487.8,76.12,1680,1572,2603,10966,649,1280,739,1184,667,1180,4568,1218,91
21,39.80065163,-76.96460088,PA,SUBRURAL,8,117779,6189.033316683316,12390444.7,52.5478507771616,737.7,76.52,2632,2393,4590,17957,1140,2076,1228,1620,1185,2055,7556,1438,80
22,39.5824035,-77.83418278,MD,SUBRURAL,18,219896,9198.804782825762,18425205.98,41.83252438800962,968.7,69.15,3724,3006,5436,17577,1357,2545,1380,1846,1442,2181,8443,1825,522
23,39.41549658,-77.43744367,MD,SUBRURAL,25,290402,8141.693491508491,16299670.37,28.0359415276358,1078.3,43.66,2147,1865,3191,11778,736,1345,940,1421,1080,1276,6001,1875,582
